Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
1 cup of 2 chapati with Paneer Bhurji (Low Fat),105,8.16,4.55,6.06,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Spinach and Moong Dal Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,157,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,121.28,Breakfast
2 bowls of semiya upma,153,7.15,20.36,3.8,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,238,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,125.0,Breakfast
2 idlis of 2 roti with Vegetable Kurma,130,7.92,17.29,0.36,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati Green Gram Curry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,325,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,142.18,Snack
Brahmi infused 2 idlis of vegetable upma,67,0.88,13.61,0.4,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Whole Grains","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,177,47,Breakfast,1 medium serving,Consume freshly prepared for best benefits,55.66,Lunch
1 handful of 2 roti with masoor dal sabji,77,1.65,19.87,0.1,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,236,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,110.01,Snack
1 cup of rava upma,124,5.28,17.63,0.5,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Rich in protein, aids digestion, and balances Vata",2 Methi Thepla with ghee,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,172,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,133.05,Lunch
Neem infused 1 cup of 2 roti with paneer sabji,20,0.27,3.62,0.1,Kashaya,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",2 chapati with Cabbage Stir-fry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,275,33,Dinner,1 medium serving,Consume freshly prepared for best benefits,18.57,Dinner
1 handful of 2 roti with Vegetable Kurma,122,9.51,28.57,0.64,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati Green Gram Curry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,244,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,108.17,Snack
2 bowls of Low-Fat Vegetable Pulao,146,3.08,23.62,2.62,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,148,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,118.38,Lunch
½ bowl of 2 chapati with Paneer Bhurji (Low Fat),97,9.01,3.17,7.25,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Spinach and Moong Dal Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,119,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,92.36,Dinner
Tulsi infused 1 handful of 4 Low Fat Vegetable Dhokla,108,3.9,20.18,2.61,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",2 roti with Amaranth Leaves Sabzi ,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,359,35,Dinner,1 medium serving,Consume freshly prepared for best benefits,114.78,Lunch
½ bowl of Tamarind Rice (Low Oil),134,2.33,24.63,2.14,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,329,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,147.29,Breakfast
small plate of 2 roti and Chole sabji,49,2.46,3.53,3.22,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tur Dal sambar,"Low-fat Dairy, Whole Grains, Vegetables","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,147,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,51.23,Dinner
small plate of rice and moong dal,23,0.51,4.58,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 Vegetable Stuffed Idli,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,150,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,15.88,Lunch
2 bowls of brown rice and Vegetable Stew,56,0.23,12.25,0.1,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Fenugreek Leaves Curry ,"Legumes, Whole Grains, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,174,44,Dinner,1 medium serving,Consume freshly prepared for best benefits,37.97,Dinner
1 paratha of brown rice and sambar,102,2.25,20.11,0.37,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,231,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,112.54,Snack
1 paratha of 3  Vegetable Steamed Momos,116,2.82,15.09,1.82,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Quinoa Upma,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,301,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,116.12,Dinner
Brahmi infused 2 bowls of Tamarind Rice (Low Oil),117,3.31,27.16,3.12,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,298,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,107.92,Snack
½ bowl of Low-Fat Vegetable Pulao,121,3.26,27.44,3.43,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,150,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,172.83,Dinner
1 cup of 2 roti and bottle gaurd sabji,32,0.74,8.9,0.19,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,145,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,38.17,Breakfast
small plate of brown rice and sambar,83,2.49,19.56,0.58,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,211,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,90.29,Breakfast
2 idlis of 2 plain paratha with curd,99,2.4,20.42,0.12,Madhura,Sheeta,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati with Cluster Beans Sabzi ,"Whole Grains, Legumes, Leafy Greens","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,293,33,Lunch,1 medium serving,Consume freshly prepared for best benefits,73.66,Breakfast
2 idlis of brown rice with matki sambar,155,4.22,14.22,4.26,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati and Paneer Bhurji (Low-fat),"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,352,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,130.79,Snack
1 paratha of 2 mooli paratha,103,4.93,17.41,0.89,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of vegetable upma,"Vegetables, Whole Grains, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,344,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,85.82,Lunch
1 paratha of mixed seeds,41,2.43,8.36,0.48,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"Rich in iron, detoxifies the body, and balances Pitta",1 bowl Oats Idli,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,118,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,43.3,Snack
2 bowls of rice and Beetroot Curry,45,1.88,5.02,1.86,Katu,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with matki sabji ,"Whole Grains, Low-fat Dairy, Legumes","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,295,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,43.69,Snack
Amla infused 1 handful of roasted makhana,33,1.35,5.6,0.33,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",2 Besan Chilla,"Leafy Greens, Spices, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,119,39,Lunch,1 medium serving,Consume freshly prepared for best benefits,26.56,Lunch
1 handful of Tamarind Rice (Low Oil),118,2.91,21.28,2.66,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,245,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,124.76,Snack
2 idlis of 2 roti and bottle gaurd sabji,35,1.3,6.98,0.22,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,166,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,37.71,Snack
1 paratha of Tamarind Rice (Low Oil),132,2.93,25.71,3.2,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,317,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,145.93,Lunch
Neem infused small plate of salad,20,1.15,3.66,0.24,Tikta,Ushna,Katu,Balances Kapha & Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",1 bowl Vegetable Khichdi,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,386,55,Lunch,1 medium serving,Consume freshly prepared for best benefits,16.65,Dinner
Giloy infused 1 paratha of curd,127,5.18,22.68,0.77,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,212,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,148.75,Lunch
Amla infused 2 bowls of rice and rajma curry,83,3.21,18.52,3.54,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of pulav and Vegetable Raita,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,221,34,Lunch,1 medium serving,Consume freshly prepared for best benefits,82.46,Lunch
Methi Seeds infused 2 idlis of 2 dosa with coconut chutney,100,6.71,21.56,1.08,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Methi Seeds enhances immunity & digestion",2 masala dosa ,"Spices, Whole Grains, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Supports Methi Seeds benefits",Helps regulate blood sugar and provides balanced nutrition,190,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,97.49,Dinner
1 paratha of 2 moong dal chilla,21,0.76,3.42,1.89,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 poori with peas sabji,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,294,53,Breakfast,1 medium serving,Consume freshly prepared for best benefits,23.44,Beverage
Ashwagandha infused 1 handful of 2 roti with masoor dal sabji,68,1.34,25.86,0.11,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,277,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,82.74,Dinner
1 paratha of vegetable upma,56,1.33,14.03,0.46,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Whole Grains","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,145,47,Breakfast,1 medium serving,Consume freshly prepared for best benefits,74.18,Beverage
2 bowls of 1 bowl od rice with Raw Papaya Curry,49,0.57,11.14,0.22,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Peas Pulao with Curd,"Leafy Greens, Legumes, Low-fat Dairy","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,216,50,Lunch,1 medium serving,Consume freshly prepared for best benefits,49.2,Lunch
Methi Seeds infused 1 handful of 2 roti and bottle gaurd sabji,26,0.81,9.02,0.15,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Methi Seeds enhances immunity & digestion",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Methi Seeds benefits",Helps regulate blood sugar and provides balanced nutrition,164,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,36.92,Dinner
½ bowl of 2 plain paratha with curd,75,1.92,18.13,0.1,Madhura,Sheeta,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati with Cluster Beans Sabzi ,"Whole Grains, Legumes, Leafy Greens","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,401,33,Lunch,1 medium serving,Consume freshly prepared for best benefits,69.99,Dinner
1 cup of 2 roti with chickpea sabji and salad,79,3.24,18.39,1.29,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tomato Rasam,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,303,49,Dinner,1 medium serving,Consume freshly prepared for best benefits,87.64,Lunch
2 bowls of 2 roti and Chole sabji,68,3.3,3.19,2.55,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tur Dal sambar,"Low-fat Dairy, Whole Grains, Vegetables","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,145,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,65.8,Breakfast
2 idlis of Tamarind Rice (Low Oil),124,3.01,23.23,1.83,Amla,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with brinjal sabji,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,263,54,Lunch,1 medium serving,Consume freshly prepared for best benefits,150.42,Dinner
Brahmi infused 1 paratha of brown rice and palak dal,87,7.36,15.27,0.4,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",2 chapati witrh Vegetable Korma,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,274,40,Lunch,1 medium serving,Consume freshly prepared for best benefits,79.45,Breakfast
Giloy infused 2 idlis of 2 roti and mixed veg curry and Cucumber Salad,20,0.75,2.27,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,297,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,11.52,Dinner
Amla infused 2 idlis of poha,20,0.47,3.15,0.11,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"Cools the body, supports weight loss, and improves digestion; Amla enhances immunity & digestion",2 besan chilla with ghee,"Legumes, Whole Grains, Spices","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,255,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,22.9,Beverage
small plate of 2 roti and bindi sabji and salad,84,5.03,12.45,0.29,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Multigrain Roti with Tinda Sabzi,"Vegetables, Leafy Greens, Spices","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,364,34,Lunch,1 medium serving,Consume freshly prepared for best benefits,68.15,Dinner
2 bowls of rice and sambar,37,0.74,7.19,0.21,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti sabji and Sprouted Moong Salad,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,316,52,Lunch,1 medium serving,Consume freshly prepared for best benefits,52.62,Breakfast
½ bowl of 1 gobi parota with ghee,89,6.94,15.86,0.39,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bottle Gourd Curry ,"Leafy Greens, Spices, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,195,32,Dinner,1 medium serving,Consume freshly prepared for best benefits,67.4,Dinner
2 idlis of 2 dosa with coconut chutney,83,5.07,21.59,1.68,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 masala dosa ,"Spices, Whole Grains, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,225,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,110.94,Dinner
½ bowl of vegetable sald,108,2.57,19.84,2.13,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Easy to digest, nourishes the body, and balances Vata",2 roti with bindi sabji,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,122,36,Lunch,1 medium serving,Consume freshly prepared for best benefits,110.37,Beverage
Tulsi infused ½ bowl of vegetable upma,68,1.14,15.15,0.47,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Whole Grains","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,148,47,Breakfast,1 medium serving,Consume freshly prepared for best benefits,51.32,Snack
½ bowl of rice and vegetable sambar,47,1.65,6.38,0.46,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Broccoli Stir Fry ,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,143,30,Lunch,1 medium serving,Consume freshly prepared for best benefits,34.8,Lunch
Tulsi infused 2 idlis of 2 roti and mixed veg curry and Cucumber Salad,20,0.7,1.98,0.11,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,316,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,13.58,Dinner
